seed,case,ospa_mean,ospa_loc_mean,ospa_card_mean,ospa_assign_mean,card_err_mean,fragmentation_count,id_switches,false_confirm_ratio,median_track_life,mean_track_life,peak_confirmed,ospa_rmse,pos_rmse
1001,Baseline-R,92.638279,28.282954,63.816116,53.855075,3.165501,3.000000,3.000000,0.611111,43.500000,179.833333,11.000000,93.761658,66.088434
1002,Baseline-R,93.629913,53.781390,47.500418,47.644473,1.671329,2.000000,2.000000,0.571429,39.500000,181.142857,10.000000,94.663622,60.057542
1003,Baseline-R,92.359316,6.281619,62.287225,61.962297,2.692308,3.000000,3.000000,0.588235,43.000000,175.941176,10.000000,93.715756,49.766550
1004,Baseline-R,94.799259,38.703721,37.930423,62.369605,1.331002,3.000000,3.000000,0.666667,37.000000,158.000000,10.000000,95.502646,62.683329
1005,Baseline-R,89.901141,11.331773,60.067623,57.410415,2.804196,5.000000,5.000000,0.375000,106.000000,189.312500,11.000000,90.963146,45.290828
1006,Baseline-R,94.852840,32.774525,71.103151,46.476714,4.258741,3.000000,3.000000,0.600000,300.000000,244.133333,14.000000,95.734337,63.575998
1007,Baseline-R,90.639366,31.704702,45.077433,59.648310,1.762238,3.000000,3.000000,0.625000,44.500000,159.625000,10.000000,92.046427,45.847864
1008,Baseline-R,94.694218,36.263905,61.277417,53.106835,2.622378,1.000000,1.000000,0.625000,35.500000,184.562500,11.000000,95.558943,62.759269
1009,Baseline-R,93.422234,44.972830,63.414455,44.091827,3.076923,3.000000,3.000000,0.647059,35.000000,187.705882,10.000000,94.785811,51.762381
1010,Baseline-R,92.416840,39.539471,61.351048,47.417762,2.748252,3.000000,4.000000,0.562500,63.000000,187.937500,12.000000,93.181266,57.176123
1011,Baseline-R,90.316091,18.752269,64.504518,55.230302,2.888112,7.000000,7.000000,0.470588,47.000000,181.000000,11.000000,91.248683,62.845598
1012,Baseline-R,95.881888,32.863936,66.156404,53.593831,3.307692,3.000000,3.000000,0.666667,38.500000,182.111111,11.000000,96.681129,66.930105
1013,Baseline-R,93.612064,11.076876,57.917654,63.474238,2.382284,2.000000,2.000000,0.533333,49.000000,191.466667,10.000000,94.696033,49.767328
1014,Baseline-R,93.910594,47.184121,37.109206,52.691140,1.370629,3.000000,3.000000,0.600000,37.000000,159.066667,11.000000,94.664606,48.106297
1015,Baseline-R,92.236055,34.052178,63.952944,50.495733,2.920746,6.000000,6.000000,0.555556,57.500000,171.777778,10.000000,93.131645,59.029586
1016,Baseline-R,92.247773,9.362852,73.996667,50.255654,5.328671,5.000000,5.000000,0.526316,231.000000,220.210526,13.000000,93.702549,63.687969
1017,Baseline-R,90.761645,7.979330,72.484138,50.445915,4.743590,4.000000,4.000000,0.526316,192.000000,206.263158,12.000000,92.320154,42.621410
1018,Baseline-R,96.562318,37.067651,58.250581,57.773291,2.393939,2.000000,2.000000,0.666667,37.000000,191.933333,11.000000,97.027982,63.300279
1019,Baseline-R,95.065775,32.002639,69.962350,48.567190,3.990676,3.000000,3.000000,0.625000,219.000000,224.437500,11.000000,95.952203,65.933114
1020,Baseline-R,94.905433,24.774874,67.806302,56.134249,3.606061,4.000000,4.000000,0.555556,80.000000,189.333333,12.000000,95.767698,60.711640
1021,Baseline-R,93.011604,5.348450,70.462107,55.956430,4.340326,3.000000,3.000000,0.631579,45.000000,196.105263,12.000000,94.370451,61.068217
1022,Baseline-R,92.603396,19.433386,62.278858,55.168163,2.613054,3.000000,3.000000,0.571429,146.000000,207.000000,12.000000,93.513783,59.269738
1023,Baseline-R,93.398360,38.455764,64.320752,47.911354,3.163170,3.000000,3.000000,0.600000,117.000000,213.000000,10.000000,95.019474,61.897267
1024,Baseline-R,91.590811,34.405060,61.108326,49.210132,2.685315,6.000000,6.000000,0.590909,36.500000,136.181818,11.000000,93.480827,53.510502
1025,Baseline-R,90.274880,49.826473,56.347346,37.637769,2.261072,4.000000,4.000000,0.571429,40.000000,200.642857,10.000000,92.048531,58.579733
1001,Point-A,89.821628,20.715382,65.468971,50.756475,3.310023,6.000000,14.000000,0.619048,38.000000,156.238095,12.000000,91.170153,44.403266
1002,Point-A,91.347623,30.495608,67.150749,46.414730,3.454545,8.000000,8.000000,0.550000,65.500000,167.500000,14.000000,91.795001,57.218838
1003,Point-A,94.660171,29.985268,51.043966,63.354608,1.986014,6.000000,7.000000,0.473684,43.000000,128.526316,12.000000,95.574296,56.753599
1004,Point-A,91.962024,36.954801,51.577460,53.747629,1.682984,1.000000,1.000000,0.666667,145.500000,209.250000,10.000000,92.562564,42.258754
1005,Point-A,89.697282,29.048698,69.606802,40.580134,3.808858,10.000000,19.000000,0.368421,38.000000,184.894737,10.000000,90.318753,50.856827
1006,Point-A,89.132263,27.980298,49.590590,57.741565,1.969697,6.000000,7.000000,0.590909,39.500000,121.863636,12.000000,90.515879,39.322265
1007,Point-A,90.733017,39.273147,68.589827,33.467682,3.510490,4.000000,4.000000,0.666667,67.000000,187.500000,11.000000,91.119515,50.926484
1008,Point-A,89.960545,35.673447,48.997990,50.152588,2.212121,9.000000,10.000000,0.434783,45.000000,122.043478,13.000000,90.984380,61.134362
1009,Point-A,83.344031,32.714681,51.647014,43.839333,1.652681,4.000000,4.000000,0.588235,41.000000,145.588235,11.000000,84.158279,46.255410
1010,Point-A,92.663922,22.698881,47.281875,63.019354,1.946387,2.000000,2.000000,0.666667,67.500000,142.722222,11.000000,93.193212,34.459269
1011,Point-A,91.429901,26.876681,40.678687,62.593833,1.515152,8.000000,11.000000,0.444444,40.500000,130.500000,11.000000,92.588633,58.411369
1012,Point-A,92.793128,37.661207,69.140620,37.667912,4.254079,5.000000,5.000000,0.666667,130.000000,176.142857,13.000000,93.708762,46.622117
1013,Point-A,87.051743,27.800340,50.032183,54.383446,1.804196,5.000000,5.000000,0.500000,46.000000,142.222222,11.000000,87.885796,39.493159
1014,Point-A,89.735110,25.061942,63.554382,50.556185,3.263403,5.000000,6.000000,0.619048,52.000000,154.619048,13.000000,91.244149,49.289473
1015,Point-A,91.436903,36.483038,45.832578,55.462771,1.927739,7.000000,9.000000,0.500000,39.500000,129.450000,15.000000,92.434713,52.090277
1016,Point-A,90.186965,25.503612,68.876196,45.504001,3.930070,3.000000,3.000000,0.650000,67.500000,176.650000,14.000000,91.670016,45.490859
1017,Point-A,88.975905,25.771820,65.585743,47.605892,3.137529,3.000000,3.000000,0.600000,197.000000,211.666667,13.000000,89.560367,43.945611
1018,Point-A,90.971934,32.252387,64.788237,46.232845,3.144522,7.000000,8.000000,0.421053,45.000000,168.842105,12.000000,92.001370,62.977451
1019,Point-A,90.518133,30.493031,59.284636,51.953126,2.466200,4.000000,4.000000,0.578947,46.000000,151.578947,14.000000,90.945341,50.865695
1020,Point-A,88.598703,20.148155,76.197051,35.058198,6.118881,3.000000,4.000000,0.714286,241.000000,216.523810,16.000000,89.994147,35.831693
1021,Point-A,92.087239,29.741716,68.194474,49.079042,3.846154,5.000000,5.000000,0.578947,56.000000,186.210526,13.000000,93.130339,59.241866
1022,Point-A,89.062807,20.493349,66.332345,45.967607,3.482517,4.000000,5.000000,0.555556,131.000000,185.222222,13.000000,90.148019,48.562469
1023,Point-A,90.594595,20.965646,69.954494,47.989252,4.195804,4.000000,4.000000,0.631579,49.000000,194.000000,13.000000,91.975587,46.518877
1024,Point-A,85.633508,36.181407,41.182569,53.053218,1.489510,7.000000,7.000000,0.450000,44.500000,108.450000,12.000000,86.898966,47.674421
1025,Point-A,90.653391,42.208268,38.426994,52.595666,1.379953,7.000000,7.000000,0.578947,37.000000,122.578947,11.000000,91.141786,54.239039
1001,Point-A-Multi,89.403462,29.196154,65.416299,44.313449,3.501166,8.000000,10.000000,0.421053,156.000000,175.210526,14.000000,89.921003,44.997981
1002,Point-A-Multi,85.275940,26.974618,62.207211,40.674515,2.738928,7.000000,7.000000,0.444444,69.500000,165.555556,13.000000,85.581102,39.872848
1003,Point-A-Multi,86.173486,14.045910,49.660158,60.695722,1.890443,6.000000,8.000000,0.523810,46.000000,123.761905,13.000000,86.745913,43.716285
1004,Point-A-Multi,78.334148,29.397115,54.469811,26.792414,2.279720,6.000000,6.000000,0.545455,53.000000,126.409091,12.000000,78.757137,31.464935
1005,Point-A-Multi,91.058394,4.570770,54.240549,63.747229,2.421911,4.000000,4.000000,0.470588,78.000000,167.235294,13.000000,91.415970,49.355833
1006,Point-A-Multi,83.002742,27.491687,52.701662,43.974431,1.960373,4.000000,4.000000,0.500000,71.000000,165.500000,10.000000,83.394701,29.757668
1007,Point-A-Multi,80.459381,10.864763,60.176750,40.021035,2.885781,4.000000,4.000000,0.550000,88.500000,152.500000,14.000000,80.816550,33.018312
1008,Point-A-Multi,84.777267,12.130729,77.189090,24.469873,5.848485,3.000000,6.000000,0.600000,199.000000,218.200000,16.000000,85.112540,32.692994
1009,Point-A-Multi,81.828057,28.144735,48.224530,41.147849,2.291375,5.000000,6.000000,0.500000,68.000000,155.555556,15.000000,82.329923,33.800058
1010,Point-A-Multi,78.071160,9.510767,55.075525,44.705808,1.925408,8.000000,8.000000,0.458333,48.000000,105.500000,11.000000,78.558663,36.206078
1011,Point-A-Multi,87.672399,13.940375,63.954630,48.604551,2.955711,4.000000,5.000000,0.600000,46.000000,155.450000,13.000000,87.929212,43.363486
1012,Point-A-Multi,90.981694,30.273804,46.747801,58.864553,1.731935,7.000000,8.000000,0.411765,62.000000,139.000000,11.000000,91.496850,53.861103
1013,Point-A-Multi,76.458311,12.155701,53.665512,40.936885,2.282051,8.000000,8.000000,0.480000,46.000000,111.560000,12.000000,77.156711,34.654940
1014,Point-A-Multi,88.327437,18.529554,67.638630,48.339326,3.424242,5.000000,6.000000,0.375000,155.000000,204.687500,14.000000,88.872182,45.310718
1015,Point-A-Multi,87.697919,27.050773,53.578088,48.783788,2.344988,5.000000,5.000000,0.500000,80.000000,177.687500,12.000000,88.011828,45.244602
