seed,case,ospa_mean,card_err_mean,fragmentation_count,id_switches,false_confirm_ratio,median_track_life,mean_track_life,peak_confirmed,ospa_rmse,pos_rmse
1001,KF_Field,44.930304,0.885781,29.000000,29.000000,0.291667,36.000000,31.333333,6.000000,51.969518,13.095040
1002,KF_Field,45.029497,0.764569,29.000000,29.000000,0.346154,35.500000,30.307692,6.000000,52.053959,15.156852
1003,KF_Field,43.390419,0.916084,29.000000,29.000000,0.260870,36.000000,31.282609,5.000000,51.137594,13.093549
1004,KF_Field,43.539419,0.860140,29.000000,29.000000,0.291667,36.000000,30.729167,6.000000,51.178476,13.540731
1005,KF_Field,45.727796,0.811189,29.000000,29.000000,0.346154,35.500000,30.307692,7.000000,52.608346,13.094075
1006,KF_Field,45.903725,0.869464,29.000000,29.000000,0.320000,36.000000,30.820000,6.000000,52.569483,13.541924
1007,KF_Field,45.340837,0.829837,29.000000,29.000000,0.320000,36.000000,30.800000,6.000000,52.294954,13.093324
1008,KF_Field,43.365875,0.913753,29.000000,29.000000,0.306122,36.000000,29.571429,5.000000,51.085678,13.540319
1009,KF_Field,44.288864,0.899767,29.000000,29.000000,0.306122,36.000000,30.142857,5.000000,51.743318,13.094593
1010,KF_Field,44.159068,0.904429,29.000000,29.000000,0.358491,35.000000,28.094340,6.000000,51.563033,13.088299
1011,KF_Field,45.029504,0.764569,29.000000,29.000000,0.370370,35.000000,29.296296,6.000000,52.053982,15.157853
1012,KF_Field,44.029759,0.892774,29.000000,29.000000,0.320000,36.000000,29.620000,6.000000,51.439383,13.537484
1013,KF_Field,44.231745,0.834499,29.000000,29.000000,0.320000,36.000000,30.240000,6.000000,51.567357,13.540089
1014,KF_Field,44.442702,0.846154,29.000000,29.000000,0.333333,36.000000,29.686275,6.000000,51.695807,13.092974
1015,KF_Field,43.563681,0.862471,29.000000,29.000000,0.306122,36.000000,30.142857,6.000000,51.230218,13.112041
1016,KF_Field,43.283138,0.913753,29.000000,29.000000,0.260870,36.000000,31.260870,5.000000,51.080782,13.093056
1017,KF_Field,44.722113,0.825175,29.000000,29.000000,0.358491,35.000000,29.226415,7.000000,51.956868,13.093254
1018,KF_Field,44.077633,0.829837,29.000000,29.000000,0.346154,35.500000,29.153846,6.000000,51.488326,15.157189
1019,KF_Field,44.054401,0.895105,29.000000,29.000000,0.320000,36.000000,29.600000,6.000000,51.491035,13.111891
1020,KF_Field,43.867812,0.885781,29.000000,29.000000,0.346154,35.500000,28.576923,6.000000,51.413884,13.090620
